,latitude,longitude,city,num
297,-1.722887,120.55342,Pantango Lemba,1
298,-1.64788,120.43861,Poso district,1
299,-1.646888,120.435763,Kalemago,1
300,-1.626133,120.471809,Poso district,1
301,-1.584919,120.654573,Dewua,1
302,-1.571389,120.628611,Sanginora,1
303,-1.571144,120.627997,Taunca,1
304,-1.56969,127.453222,Karlumen,1
305,-1.49,120.633333,Tangkura,2
306,-1.479086,121.454854,Tamanjeka,1
307,-1.467778,120.615833,Padalembara,1
308,-1.456948,120.634468,Betalemba,1
309,-1.444871,120.323085,Napu,1
310,-1.424192,120.66989,Patiwunga,1
311,-1.421727,103.61312,Maro Sebo,1
312,-1.40232,120.758233,Poso,9
313,-1.402226,120.758315,Paso,2
314,-1.395818,120.75453,Tangkura,1
315,-1.394998,120.753772,Poso,1
316,-1.394556,120.754062,Poso,2
317,-1.393746,120.755887,Poso,1
318,-1.393147,120.754749,Poso,20
319,-1.391922,120.766998,Poso,1
320,-1.384606,120.757265,Kasintuwu,1
321,-1.348347,120.344541,Sedoa,1
322,-1.342116,121.655155,Unknown,1
323,-1.267704,120.576326,Maranda,1
324,-1.171755,120.262811,Lemban Tongoa,1
325,-1.165474,119.886186,Loki,1
326,-1.123057,120.440933,Salubanga,1
327,-1.119683,120.447285,Salubanga,2
328,-1.112057,101.615777,Dharmasraya district,1
329,-1.062318,120.366831,Balinggi,1
330,-1.053327,120.449562,Sausu,1
331,-1.030164,120.274027,Torue,1
332,-0.95,100.353056,Padang,2
333,-0.928863,119.871135,Tamanjeka,1
334,-0.909201,119.868274,Palu,1
335,-0.898583,119.850601,Palu,4
336,-0.896722,119.857299,Palu,1
337,-0.869369,119.877142,Palu,1
338,-0.861453,134.062042,Manokwari,1
339,-0.861453,134.062042,Mapunduma,1
340,-0.815556,120.176667,Parigi,1
341,-0.583091,73.23202,Addu,1
342,-0.494823,117.143615,Samarinda,1
343,0.2213,99.634135,Pasaman Barat district,1
344,0.533333,101.45,Pekanbaru City,1
345,0.533333,101.45,Pekanburu,1
346,0.533547,101.44328,Pekanbaru,1
347,0.559,121.211122,Lobu,1
348,0.581565,120.803539,Salubunga,1
349,0.781083,127.38132,Ternate,3
350,0.783333,127.366667,Losuo,1
351,0.910768,108.988934,Singkawang,1
352,1.045626,104.030454,Batam,1
353,1.053255,104.030685,Batam,4
354,1.053889,99.730278,Sibuhuan,3
355,1.27986,103.848989,Singapore,6
356,1.27986,103.848989,Unknown,1
357,1.491701,124.842843,Manado,2
358,1.71012,103.527153,Sedenak,1
359,2.051914,128.294517,Morotai,1
360,2.145451,102.56256,Sungai Mati,1
361,2.287274,111.83057,Sibu,2
362,2.351637,97.863914,Dangguran,1
363,2.358946,97.87216,Aceh Singkil district,1
364,2.495129,128.637253,Korago,1
365,2.553629,128.610928,Pangeo,1
366,2.64413,97.790807,Trumon,1
367,2.724812,101.94057,Seremban,1
368,2.91856,101.665446,Putrajaya,1
369,2.96,99.06,Pematang Siantar,4
370,2.963072,101.75175,Bandar Baru Bangi,1
371,3.015301,101.712396,Seri Kembangan,1
372,3.032715,101.618802,Puchong,1
373,3.073246,101.518424,Shah Alam,1
374,3.1072,101.603592,Petaling Jaya,1
375,3.109089,101.438086,Klang,1
376,3.114081,101.692307,Unknown,1
377,3.138943,101.691315,Kuala Lumpur,14
378,3.138943,101.691316,Kuala Lumpur,6
379,3.192995,101.592343,Petaling Jaya,1
380,3.193265,98.30584,Ule Geumpung,1
381,3.265931,97.177063,Tapaktuan,1
382,3.426665,97.080959,Lhok Aman,1
383,3.509694,101.103909,Sekinchan,1
384,3.585242,98.675598,Medan,22
385,3.585242,98.675598,Unknown,1
386,3.59143,98.669477,Medan,1
387,3.595196,98.672223,Medan,3
388,3.59566,98.482418,Binjai,1
389,3.607756,72.955585,Dhangethi,1
390,3.672752,100.988016,Sungai Besar,1
391,3.756265,72.967231,Mahibadhoo,1
392,4.114683,118.628756,Sipadan,1
393,4.143735,96.128021,Meulaboh,1
394,4.15405,96.143965,West Aceh district,1
395,4.17401,73.510488,Male,1
396,4.174199,73.510915,Male,2
397,4.174325,73.509415,Male,1
398,4.17455,73.510017,Male,1
399,4.174679,73.509354,Male,1
400,4.17485,73.508441,Male,1
401,4.175104,73.511006,Male,1
402,4.175193,73.517912,Male,1
403,4.175278,73.508889,Male,4
404,4.175496,73.509347,Male,2
405,4.175534,73.509365,Male,1
406,4.177352,73.513654,Male,1
407,4.210452,73.538821,Hulhumale,1
408,4.210649,73.538799,Hulhumale,1
409,4.246112,118.631081,Mabul,1
410,4.273348,117.90903,Tawau,1
411,4.333613,96.964094,Unknown,1
412,4.33406,96.012026,Alue Perman,1
413,4.358267,98.175594,Keudee Geureubak,1
414,4.436335,118.531842,Kampung Air Tengah,1
415,4.449306,96.167968,Lancang Barat,1
416,4.468698,96.914603,Unknown,1
417,4.472565,97.973103,Langsa,2
418,4.474444,97.983889,Sungai Pauh,1
419,4.479391,118.611545,Semporna,1
420,4.480195,118.60988,Semporna,1
421,4.503384,98.01066,Kuala Langsa,1
422,4.504502,118.623828,Semporna,1
423,4.527142,97.607574,East Aceh district,9
424,4.530165,97.668443,Lubuk Pempeng,1
425,4.576746,97.911612,Bayeun,1
426,4.57679,113.98714,Kuala Baram,1
427,4.584472,114.21344,Kuala Belait,1
428,4.584809,101.049063,Ipoh,1
429,4.594509,118.787761,Semporna district,1
430,4.595695,118.865146,Pom Pom Island,1
431,4.596682,118.864231,Semporna district,1
432,4.611331,101.113644,Ipoh,1
433,4.622325,96.84644,Takengon,1
434,4.66255,119.394262,Sitangkai,1
435,4.662801,119.399601,Sitangkai,1
436,4.67498,96.721802,Bung Simek,1
437,4.682456,118.245651,Kunak,1
438,4.686116,118.251146,Kunak,1
439,4.69149,97.912896,Alue Rangan,1
440,4.696879,96.721802,Darussalam,1
441,4.696879,96.776733,Garot Kupula Jurong,1
442,4.707828,96.732788,Aceh,3
443,4.707828,96.732788,Aceh Besar,1
444,4.707828,96.732788,Aceh Besar district,4
445,4.707828,96.732788,Unknown,6
446,4.771141,97.198767,Unknown,1
447,4.7794,119.493974,Sibutu district,1
448,4.799222,118.642842,Unknown,1
449,4.813552,100.828051,Unknown,1
450,4.814156,96.624997,Ketol District,1
451,4.816652,95.875123,Krueng Sabee,1
452,4.843278,96.128083,Reng Krueng,1
453,4.84347,97.790576,Mata Ie,1
454,4.897277,119.84869,Simunul,1
455,4.934406,100.92575,Sauk,1
456,4.945556,118.257222,Pulau Baik,1
457,4.951859,97.769207,Keudee Aceh,1
458,4.957778,96.949722,Simpang Keramat,1
459,4.962522,97.752371,Idi Rayeuk Sub district,1
460,4.976033,96.588936,Cot Trieng,1
461,4.978633,97.222142,North Aceh,2
462,4.978633,97.222142,North Aceh district,1
463,5.010223,119.747485,Simandagit,1
464,5.021692,97.188586,North Aech district,1
465,5.024206,118.330746,Lahad Datu,2
466,5.025747,118.330197,Lahad Datu,1
467,5.026416,118.335308,Lahad Datu,1
468,5.030788,119.775053,Chinese Pier,1
469,5.031979,119.772504,Bongao,2
470,5.032286,119.772924,Bongao,1
471,5.034886,97.270681,Matangkuli,1
472,5.036097,120.22696,Montalban,1
473,5.037253,97.590466,Julok Sub-district,1
474,5.047171,96.685066,Juli,1
475,5.048858,118.35937,Lahad Datu,1
476,5.049009,97.27198,Blang Bidok,1
477,5.051701,97.318123,Lhoksukon subdistrict,1
478,5.071716,97.21136,Meurah Mulia,1
479,5.072926,97.177953,Teupin Peunti,1
480,5.080556,97.405278,Matang Baru,1
481,5.093077,97.171831,Alue Mbang,1
482,5.093235,119.846804,Lapid-Lapid,1
483,5.09678,97.5326,Simpang Ulim,1
484,5.099108,97.254413,Ulee Reuleueng,1
485,5.102361,95.897173,Pidie district,1
486,5.105307,97.405357,Baktia,1
487,5.107365,97.259891,Syamtalira Aron,1
488,5.108851,97.578898,Simpang Ulin,1
489,5.118257,97.210942,Samudera district,1
490,5.1234,97.3503,Cotblang,1
491,5.123772,97.154388,Cunda,1
492,5.133811,119.950926,Unknown,1
493,5.13691,119.945966,Unknown,1
494,5.166216,96.357154,Batee Iliek,1
495,5.167968,100.479398,Nibong Tebal,2
496,5.170075,97.148727,Lhokseumawe,1
497,5.172649,97.150073,Pusong Baru,1
498,5.183798,97.141575,Lhokesumawe,1
499,5.183798,97.141575,Lhoksemaue,1
500,5.183798,97.141575,Lhokseumawe,24
501,5.184828,120.013958,Panglima Sugala district,1
502,5.187162,120.017867,Unknown,1
503,5.190169,97.137432,Tempok Tengah,1
504,5.200792,97.014849,Blang Karieng,1
505,5.202074,96.702147,Bireun,1
506,5.205929,96.715611,Geulanggang Tenguh,1
507,5.205948,120.053982,Gracepan,1
508,5.207409,96.383782,Sangso,1
509,5.212823,120.588623,Tabawan Island,1
510,5.232848,96.707867,Ujoeng Blang,1
511,5.237222,96.9925,Pulau Rungkom,1
512,5.249444,95.940278,Peureulak,1
513,5.263234,100.484623,Jalan Song Ban Khen,1
514,5.269061,120.079876,Unknown,3
515,5.279298,100.424774,Bukit Tambun,1
516,5.299445,100.460795,Unknown,1
517,5.30555,120.125,Tubig Dakula,1
518,5.306019,117.975949,Kinabatangan district,1
519,5.309415,120.231316,Himbah,1
520,5.333189,95.927669,Desa Blang Rikui,1
521,5.33822,100.429195,Bukit Tengah,1
522,5.353521,95.906296,Gapui,1
523,5.358157,95.927079,Dayah Tanoh,2
524,5.363669,100.310774,Georgetown,1
525,5.380556,95.954722,Pidie,4
526,5.3809,95.510558,Lampakuk,1
527,5.38528,100.392677,Taman Chai Leng,1
528,5.397895,95.362715,Suka Makmur,1
529,5.413871,100.322589,George Town,1
530,5.414144,100.332776,George Town,1
531,5.423836,95.903545,Kuala Batee,1
532,5.432036,119.108844,Kilang Balak Nam Sang,1
533,5.433687,100.385277,Butterworth,1
534,5.444372,73.365712,Naifaru,1
535,5.450148,119.109985,Tambisan Island,1
536,5.458794,95.477829,Besar district,1
537,5.474676,95.246036,Lamkruet,1
538,5.482043,100.494857,Tasek Gelugor,1
539,5.512597,95.793513,Muara Tiga,1
540,5.5212,95.5531,Alue Glong,1
541,5.541471,95.342957,Banda Aceh,40
542,5.541471,95.342957,Chik Embon,1
543,5.541471,95.342957,Geuceu Meunara,1
544,5.541471,95.342957,Jamur,1
545,5.541471,95.342957,Krueng Raya,1
546,5.541471,95.342957,Lamno Sub-district,1
547,5.544054,120.815636,Siasi,2
548,5.545248,95.32401,Unknown,6
549,5.546116,120.818433,Siasi district,3
550,5.54999,95.316667,Lingkok,1
551,5.55,95.316667,Mount Geurute,1
552,5.551026,118.693496,Kinabatangan district,2
553,5.553923,120.913233,Tampakan Laminusa,1
554,5.559298,95.326815,Banda Aceh,3
555,5.559298,95.326815,Jalan Aneuk Galong,1
556,5.559298,95.326815,Lueng Bata,1
557,5.642885,100.489173,Sungai Petani,1
558,5.654801,100.513036,Sungai Petani,1
559,5.697265,125.289411,Margus,1
560,5.703998,120.819268,Lugus,1
561,5.773056,101.0725,Betong,5
562,5.773056,101.0725,Hat Yai,1
563,5.773116,101.072458,Betong district,1
564,5.773132,101.07253,Betong,1
565,5.773351,101.074059,Batong,1
566,5.773611,101.060556,Betong,1
567,5.77602,125.354517,Tuboli,1
568,5.779625,101.048271,Betong district,1
569,5.779985,101.037238,Joh Bantang,1
570,5.7861,101.14022,Ban Yarom,1
571,5.803388,125.224235,Calabanit,1
572,5.819138,121.165878,Pata district,1
573,5.821566,125.200949,Glan,1
574,5.822439,125.203366,Glan,1
575,5.828472,101.207047,Tambon Al Yer Weng,1
576,5.839444,118.117173,Sandakan,2
577,5.852411,101.83807,Waeng district,1
578,5.856389,101.923611,Nu Ro,1
579,5.856886,125.006194,Blat,1
580,5.857328,100.463247,Guar Chempedak,1
581,5.857693,125.00422,Colon,1
582,5.860273,118.104293,Sandakan,1
583,5.86205,124.996969,Maasim,1
584,5.862281,124.990597,Maasim,2
585,5.862565,118.080621,Sandakan,6
586,5.864184,124.996176,Maasin,1
587,5.885282,124.849465,Lumasal,1
588,5.8871,125.0012,Bales,1
589,5.888056,124.82972,Katubao,1
590,5.898823,101.751823,Sukhirin district,1
591,5.90016,101.752385,Narathiwat,1
592,5.90016,101.752385,Sukhirin district,2
593,5.900565,101.752444,Sukhirin district,2
594,5.904939,125.567551,Marabatuan,1
595,5.908305,101.902197,Kholo,1
596,5.912487,120.906376,Parang,1
597,5.912896,120.905727,Parang district,1
598,5.913349,120.907287,Parang,1
599,5.9137,120.9056,Parang,4
600,5.914707,125.647183,Jose Abad Santos,1
601,5.915894,101.860365,Waeng district,1
602,5.91632,101.866838,Waeng district,1
603,5.917386,120.99701,Kulasi,1
604,5.917619,125.646401,Caburan Small,1
605,5.917939,125.345352,Sapu Masla,1
606,5.917951,125.647755,Culaman,1
607,5.91845,101.866362,Waeng,1
608,5.91845,101.866362,Waeng district,2
609,5.922966,120.916623,Parang district,1
610,5.927787,121.028412,Maimbung,2
611,5.927805,101.884701,Waeng district,1
612,5.927822,101.884807,Waeng,1
613,5.927822,101.884807,Waeng district,2
614,5.927877,101.884806,Waeng,1
615,5.927953,101.367907,Aiyoeweng,1
616,5.928028,101.884184,Waeng,1
617,5.928056,101.883889,Waeng,4
618,5.928056,101.883889,Waeng (District),3
619,5.928056,101.883889,Waeng District,1
620,5.928056,101.883889,Waeng district,1
621,5.928513,121.027923,Maimbung,2
622,5.928708,101.883468,Waeng district,1
623,5.928863,101.884318,Waeng district,1
624,5.929013,101.3658,Aiyoeweng,1
625,5.929049,101.365999,Ban Ai Laboo,1
626,5.929554,101.832156,Waeng,2
627,5.929554,101.832156,Waeng district,2
628,5.930043,101.884556,Waeng district,1
629,5.930108,101.365781,Aiyoeweng,1
630,5.931919,101.18359,Aiyoeweng,1
631,5.932709,101.363419,Aiyoeweng,1
632,5.93293,121.025525,Maimbung,1
633,5.933025,121.100058,Lumapid,1
634,5.933101,121.025107,Maimbung,1
635,5.933405,121.033258,Maimbung,1
636,5.933636,121.033467,Maimbung,1
637,5.933719,120.999035,Lunggang,1
638,5.93764,80.613265,Gandara,4
639,5.938889,101.770556,Sukhirin district,1
640,5.939535,101.77022,Sukhirin district,1
641,5.94255,121.020864,Laum,1
642,5.942833,120.923896,Wanni Piyanjihan,1
643,5.944433,80.549945,Matara,12
644,5.944433,80.549945,Matara District,3
645,5.947637,116.137109,Unknown,7
646,5.951583,120.939646,Pasil,1
647,5.95214,101.712705,Sukhirin,2
648,5.95215,121.102294,Talipao district,1
649,5.952552,121.168179,Unknown,1
650,5.95323,101.695443,Sukhirin district,1
651,5.95323,101.695444,Sukhirin,5
652,5.95323,101.695444,Sukirin,1
653,5.956833,121.196044,Panglima Estino,1
654,5.960634,120.961543,Manggis,1
655,5.96147,120.988483,Labah,1
656,5.965086,121.070701,Unknown,1
657,5.965263,120.983076,Manilop,1
658,5.966221,125.285949,Malapatan,1
659,5.966235,125.285262,Malapatan district,1
660,5.966542,125.285565,Upper Suyan,1
661,5.967238,125.286134,Malapatan,1
662,5.968027,121.035239,Jolo district,1
663,5.968283,80.47818,Kotawila,1
664,5.9684,121.3122,Luuk,1
665,5.968889,101.754722,Ban Namsai,1
666,5.969181,121.125214,Unknown,1
667,5.969382,121.044016,Kiyutaan,1
668,5.969808,125.286941,Malapatan,2
